OBJECT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,LAUNCH
2024-072A,PRC,94.53,97.49,504.0,488.0,UNDEFINED,2024-04-15
1998-067WH,JPN,92.84,51.64,417.0,411.0,UNDEFINED,1998-11-20
1998-067WG,JPN,92.84,51.64,416.0,411.0,UNDEFINED,1998-11-20
1998-067WF,JPN,92.85,51.64,417.0,411.0,UNDEFINED,1998-11-20
2024-069C,CIS,89.88,51.71,354.0,184.0,UNDEFINED,2024-04-11
2024-069B,CIS,90.47,51.72,404.0,191.0,UNDEFINED,2024-04-11
2023-174DL,TBD,94.67,97.46,508.0,497.0,UNDEFINED,2023-11-11
2024-066L,TBD,96.04,45.42,573.0,565.0,LARGE,2024-04-07
2024-066K,IT,96.49,45.61,594.0,588.0,MEDIUM,2024-04-07
2024-066J,US,96.52,45.61,595.0,590.0,MEDIUM,2024-04-07
2024-066H,US,96.51,45.61,594.0,589.0,MEDIUM,2024-04-07
2024-066G,US,96.53,45.61,595.0,590.0,MEDIUM,2024-04-07
2024-066F,TBD,96.51,45.61,594.0,589.0,MEDIUM,2024-04-07
2024-066E,US,96.52,45.61,594.0,590.0,LARGE,2024-04-07
2024-066D,US,96.53,45.61,595.0,590.0,LARGE,2024-04-07
2024-066C,TBD,96.52,45.61,595.0,589.0,LARGE,2024-04-07
2024-066B,US,96.53,45.61,595.0,590.0,MEDIUM,2024-04-07
2024-066A,TBD,96.55,45.61,596.0,590.0,MEDIUM,2024-04-07
2024-065W,US,92.24,53.16,385.0,383.0,UNDEFINED,2024-04-07
2024-065V,US,91.53,53.17,350.0,349.0,UNDEFINED,2024-04-07
2024-065U,US,92.25,53.16,385.0,384.0,UNDEFINED,2024-04-07
2024-065T,US,92.25,53.16,386.0,384.0,UNDEFINED,2024-04-07
2024-065S,US,92.26,53.16,386.0,384.0,UNDEFINED,2024-04-07
2024-065R,US,92.26,53.16,386.0,385.0,UNDEFINED,2024-04-07
2024-065Q,US,92.27,53.16,387.0,385.0,UNDEFINED,2024-04-07
2024-065P,US,92.28,53.16,387.0,386.0,UNDEFINED,2024-04-07
2024-065N,US,92.29,53.16,388.0,386.0,UNDEFINED,2024-04-07
2024-065M,US,92.3,53.16,388.0,386.0,UNDEFINED,2024-04-07
2024-065L,US,92.3,53.16,388.0,387.0,UNDEFINED,2024-04-07
2024-065K,US,92.31,53.16,389.0,387.0,UNDEFINED,2024-04-07
2024-065J,US,92.32,53.16,389.0,388.0,UNDEFINED,2024-04-07
2024-065H,US,92.33,53.17,390.0,388.0,UNDEFINED,2024-04-07
2024-065G,US,92.34,53.16,390.0,388.0,UNDEFINED,2024-04-07
